,Title,Certificate,Episode_runtime,Genre,IMDb,Star1,Star2,Star3,Star4,Votes,Start_year,End_year,Series_runtime,New_cert
128,Desperate Housewives,NA,45,"Mystery, Drama, Comedy",7.5,Teri Hatcher,Felicity Huffman,Marcia Cross,Eva Longoria,115802,2004,2012.0,9.0,12
129,Taboo,NA,59,"Mystery, Drama, Thriller",8.4,Tom Hardy,David Hayman,Jonathan Pryce,Oona Chaplin,115751,2017,,,12
130,The Good Place,13+,22,"Fantasy, Drama, Comedy",8.2,Kristen Bell,William Jackson Harper,Jameela Jamil,D'Arcy Carden,115590,2016,2020.0,5.0,12
131,Iron Fist,16,55,"Adventure, Crime, Action",6.5,Finn Jones,Jessica Henwick,Jessica Stroup,Tom Pelphrey,114902,2017,2018.0,2.0,16
132,Dragon Ball Z,NA,24,"Animation, Adventure, Action",8.7,Doc Harris,Christopher Sabat,Scott McNeil,Sean Schemmel,113429,1996,2003.0,8.0,MG6
133,BoJack Horseman,18+,25,"Animation, Drama, Comedy",8.7,Will Arnett,Amy Sedaris,Alison Brie,Aaron Paul,113345,2014,2020.0,7.0,6
134,Revenge,NA,44,"Mystery, Drama, Thriller",7.8,Madeleine Stowe,Emily VanCamp,Gabriel Mann,Nick Wechsler,112608,2011,2015.0,5.0,12
135,Fear the Walking Dead,16+,44,"Drama, Horror, Sci-Fi",6.9,Kim Dickens,Frank Dillane,Cliff Curtis,Rubén Blades,112591,2015,,,18
136,Penny Dreadful,18,60,"Fantasy, Drama, Horror",8.2,Josh Hartnett,Timothy Dalton,Eva Green,Reeve Carney,112153,2014,2016.0,3.0,16
137,30 Rock,NA,22,Comedy,8.2,Tina Fey,Alec Baldwin,Tracy Morgan,Jack McBrayer,111988,2006,2013.0,8.0,9
138,Supergirl,12+,43,"Adventure, Drama, Action",6.3,Melissa Benoist,Chyler Leigh,David Harewood,Mehcad Brooks,111301,2015,2021.0,7.0,16
139,Lie to Me,NA,43,"Mystery, Drama, Crime",8.0,Tim Roth,Kelli Williams,Brendan Hines,Monica Raymund,111083,2009,2011.0,3.0,12
140,The Expanse,16+,60,"Mystery, Drama, Sci-Fi",8.5,Steven Strait,Dominique Tipper,Wes Chatham,Shohreh Aghdashloo,109916,2015,,,16
141,Cobra Kai,A,30,"Comedy, Drama, Action",8.6,Ralph Macchio,William Zabka,Xolo Maridueña,Courtney Henggeler,109597,2018,,,12
142,Grimm,16,45,"Fantasy, Drama, Crime",7.8,David Giuntoli,Russell Hornsby,Silas Weir Mitchell,Sasha Roiz,109284,2011,2017.0,7.0,16
143,Top Gear,13,60,"Reality-TV, Adventure, Comedy",8.7,Jeremy Clarkson,Richard Hammond,James May,The Stig,109019,2002,,,AL
144,This Is Us,16,45,"Romance, Drama, Comedy",8.7,Milo Ventimiglia,Mandy Moore,Sterling K. Brown,Chrissy Metz,107178,2016,,,9
145,Sex and the City,A,30,"Romance, Drama, Comedy",7.1,Sarah Jessica Parker,Kim Cattrall,Kristin Davis,Cynthia Nixon,107167,1998,2004.0,7.0,12
146,The Newsroom,15+,55,Drama,8.6,Jeff Daniels,Emily Mortimer,John Gallagher Jr.,Alison Pill,104738,2012,2014.0,3.0,9
147,The Legend of Korra,NA,23,"Animation, Adventure, Action",8.4,Janet Varney,P.J. Byrne,David Faustino,J.K. Simmons,103857,2012,2014.0,3.0,6
148,Curb Your Enthusiasm,15+,28,Comedy,8.7,Larry David,Cheryl Hines,Jeff Garlin,Susie Essman,103070,2000,,,AL
149,Mr. Bean,NA,25,"Family, Comedy",8.5,Rowan Atkinson,Robin Driscoll,Matilda Ziegler,Matthew Ashforde,103055,1990,1995.0,6.0,AL
150,Weeds,A,28,"Drama, Crime, Comedy",7.9,Mary-Louise Parker,Hunter Parrish,Alexander Gould,Kevin Nealon,102488,2005,2012.0,8.0,12
151,Star Trek: The Next Generation,U,44,"Mystery, Adventure, Action",8.6,Patrick Stewart,Brent Spiner,Jonathan Frakes,LeVar Burton,101700,1987,1994.0,8.0,6
152,Fleabag,18+,27,"Drama, Comedy",8.7,Phoebe Waller-Bridge,Sian Clifford,Olivia Colman,Jenny Rainsford,101600,2016,2019.0,4.0,12
153,Orphan Black,18,44,"Drama, Action, Sci-Fi",8.3,Tatiana Maslany,Dylan Bruce,Jordan Gavaris,Kevin Hanchard,101529,2013,2017.0,5.0,16
154,Gilmore Girls,18,44,"Drama, Comedy",8.1,Lauren Graham,Alexis Bledel,Keiko Agena,Scott Patterson,101373,2000,2007.0,8.0,6
155,Elementary,16+,60,"Mystery, Drama, Crime",7.9,Jonny Lee Miller,Lucy Liu,Aidan Quinn,Jon Michael Hill,101330,2012,2019.0,8.0,9
156,Under the Dome,NA,43,"Mystery, Drama, Sci-Fi",6.6,Mike Vogel,Rachelle Lefevre,Alexander Koch,Colin Ford,101232,2013,2015.0,3.0,12
157,The Office,NA,30,"Drama, Comedy",8.5,Ricky Gervais,Martin Freeman,Mackenzie Crook,Lucy Davis,99119,2001,2003.0,3.0,6
158,The Killing,NA,45,"Mystery, Drama, Crime",8.2,Mireille Enos,Joel Kinnaman,Billy Campbell,Liam James,98694,2011,2014.0,4.0,12
159,Bates Motel,16,45,"Mystery, Drama, Horror",8.2,Vera Farmiga,Freddie Highmore,Max Thieriot,Nicola Peltz,97152,2013,2017.0,5.0,12
160,"Love, Death & Robots",18,15,"Short, Animation, Comedy",8.5,Scott Whyte,Nolan North,Matthew Yang King,Chris Cox,97113,2019,,,16
161,Star Trek: Discovery,15+,60,"Adventure, Drama, Action",7.2,Sonequa Martin-Green,Doug Jones,Anthony Rapp,Mary Wiseman,96676,2017,,,12
162,Married with Children,NA,22,Comedy,8.0,Ed O'Neill,Christina Applegate,Katey Sagal,Amanda Bearse,96672,1987,1997.0,11.0,6
163,My Name Is Earl,NA,22,Comedy,7.7,Jason Lee,Ethan Suplee,Jaime Pressly,Nadine Velazquez,95276,2005,2009.0,5.0,6
164,Deadwood,18,55,"Drama, Crime, History",8.6,Timothy Olyphant,Ian McShane,Molly Parker,Brad Dourif,94932,2004,2006.0,3.0,16
165,Bodyguard,18+,60,"Drama, Thriller, Crime",8.1,Richard Madden,Sophie Rundle,Vincent Franklin,Ash Tandon,94714,2018,2018.0,1.0,16
166,Broadchurch,16,48,"Mystery, Drama, Crime",8.4,David Tennant,Olivia Colman,Jodie Whittaker,Andrew Buchan,94525,2013,2017.0,5.0,12
167,Misfits,UA,60,"Fantasy, Drama, Comedy",8.2,Nathan Stewart-Jarrett,Joseph Gilgun,Iwan Rheon,Lauren Socha,93617,2009,2013.0,5.0,16
168,Black Sails,18,56,"Adventure, Drama",8.2,Jessica Parker Kennedy,Toby Stephens,Hannah New,Zach McGowan,93413,2014,2017.0,4.0,16
169,Legends of Tomorrow,A,42,"Adventure, Drama, Action",6.8,Caity Lotz,Amy Louise Pemberton,Dominic Purcell,Brandon Routh,92067,2016,,,12
170,The OA,A,60,"Fantasy, Drama, Mystery",7.9,Brit Marling,Jason Isaacs,Scott Wilson,Alice Krige,90768,2016,2019.0,4.0,16
171,2 Broke Girls,16,22,Comedy,6.7,Kat Dennings,Beth Behrs,Garrett Morris,Jonathan Kite,90449,2011,2017.0,7.0,6
